"legacy_id","id","slug","category_id","category_code"
"UUI-0001","UUI-NAV-0001","arrow-up","navigation","NAV"
"UUI-0002","UUI-NAV-0002","arrow-down","navigation","NAV"
"UUI-0003","UUI-NAV-0003","arrow-left","navigation","NAV"
"UUI-0004","UUI-NAV-0004","arrow-right","navigation","NAV"
"UUI-0005","UUI-NAV-0005","arrow-up-left","navigation","NAV"
"UUI-0006","UUI-NAV-0006","arrow-up-right","navigation","NAV"
"UUI-0007","UUI-NAV-0007","arrow-down-left","navigation","NAV"
"UUI-0008","UUI-NAV-0008","arrow-down-right","navigation","NAV"
"UUI-0009","UUI-NAV-0009","chevron-up","navigation","NAV"
"UUI-0010","UUI-NAV-0010","chevron-down","navigation","NAV"
"UUI-0011","UUI-NAV-0011","chevron-left","navigation","NAV"
"UUI-0012","UUI-NAV-0012","chevron-right","navigation","NAV"
"UUI-0013","UUI-NAV-0013","chevrons-up","navigation","NAV"
"UUI-0014","UUI-NAV-0014","chevrons-down","navigation","NAV"
"UUI-0015","UUI-NAV-0015","chevrons-left","navigation","NAV"
"UUI-0016","UUI-NAV-0016","chevrons-right","navigation","NAV"
"UUI-0017","UUI-NAV-0017","move","navigation","NAV"
"UUI-0018","UUI-NAV-0018","move-horizontal","navigation","NAV"
"UUI-0019","UUI-NAV-0019","move-vertical","navigation","NAV"
"UUI-0020","UUI-NAV-0020","corner-up-left","navigation","NAV"
"UUI-0021","UUI-NAV-0021","corner-up-right","navigation","NAV"
"UUI-0022","UUI-NAV-0022","corner-down-left","navigation","NAV"
"UUI-0023","UUI-NAV-0023","corner-down-right","navigation","NAV"
"UUI-0024","UUI-NAV-0024","menu","navigation","NAV"
"UUI-0025","UUI-NAV-0025","navigation","navigation","NAV"
"UUI-0026","UUI-ACT-0001","plus","actions","ACT"
"UUI-0027","UUI-ACT-0002","minus","actions","ACT"
"UUI-0028","UUI-ACT-0003","x","actions","ACT"
"UUI-0029","UUI-ACT-0004","check","actions","ACT"
"UUI-0030","UUI-ACT-0005","copy","actions","ACT"
"UUI-0031","UUI-ACT-0006","clipboard-paste","actions","ACT"
"UUI-0032","UUI-ACT-0007","scissors","actions","ACT"
"UUI-0033","UUI-ACT-0008","trash-2","actions","ACT"
"UUI-0034","UUI-ACT-0009","save","actions","ACT"
"UUI-0035","UUI-ACT-0010","pencil","actions","ACT"
"UUI-0036","UUI-ACT-0011","eraser","actions","ACT"
"UUI-0037","UUI-ACT-0012","undo-2","actions","ACT"
"UUI-0038","UUI-ACT-0013","redo-2","actions","ACT"
"UUI-0039","UUI-ACT-0014","refresh-cw","actions","ACT"
"UUI-0040","UUI-ACT-0015","download","actions","ACT"
"UUI-0041","UUI-ACT-0016","upload","actions","ACT"
"UUI-0042","UUI-ACT-0017","share-2","actions","ACT"
"UUI-0043","UUI-ACT-0018","link-2","actions","ACT"
"UUI-0044","UUI-ACT-0019","unlink","actions","ACT"
"UUI-0045","UUI-ACT-0020","search","actions","ACT"
"UUI-0046","UUI-ACT-0021","funnel","actions","ACT"
"UUI-0047","UUI-ACT-0022","list-filter","actions","ACT"
"UUI-0048","UUI-ACT-0023","sliders-horizontal","actions","ACT"
"UUI-0049","UUI-ACT-0024","ellipsis","actions","ACT"
"UUI-0050","UUI-ACT-0025","grip-vertical","actions","ACT"
"UUI-0051","UUI-FIL-0001","file","files","FIL"
"UUI-0052","UUI-FIL-0002","file-text","files","FIL"
"UUI-0053","UUI-FIL-0003","file-plus","files","FIL"
"UUI-0054","UUI-FIL-0004","file-minus","files","FIL"
"UUI-0055","UUI-FIL-0005","file-check","files","FIL"
"UUI-0056","UUI-FIL-0006","file-x","files","FIL"
"UUI-0057","UUI-FIL-0007","files","files","FIL"
"UUI-0058","UUI-FIL-0008","folder","files","FIL"
"UUI-0059","UUI-FIL-0009","folder-open","files","FIL"
"UUI-0060","UUI-FIL-0010","folder-plus","files","FIL"
"UUI-0061","UUI-FIL-0011","folder-minus","files","FIL"
"UUI-0062","UUI-FIL-0012","folder-check","files","FIL"
